name,AverageMilestonePeriod,HierarchyDegree,avgCollabProjects,inPercentageContributorCompanies,lackOfGovernance,avgDistance,standardDevDistance,avgCulturalDistance,selfSimilarity,activeMembers,uniqueCommenterExists,highEngagement,avgDistance,avgCulturalDistance
Khan/khan-exercises,1197.738,0.003,0.444,true,24.137,2.773,4,0.170,0.011,0.356,9.341,0.395,0.508,10.147,0.326,2.303
SignalR/SignalR,247.405,0.432,0.032,true,105.0,1.839,1,0.554,0.021,0.25,64.711,0.461,0.381,6.653,0.286,1.990
mono/MonoGame,297.994,0.078,0.153,true,20.588,2.428,3,0.232,0.004,0.745,11.25,0.454,0.575,11.219,0.234,2.089
scikit-learn/scikit-learn,414.857,0.262,0.014,true,36.842,4.916,4,0.223,0.020,-0.140,8.337,0.552,0.647,25.856,0.218,1.930
h5bp/html5-boilerplate,218.844,6.1,0.009,true,9.030,2.625,2,0.397,0.023,0.571,137.721,0.784,0.603,22.113,0.247,2.000
bundler/bundler,154.686,0.276,0.004,true,16.279,4.680,1,0.209,0.020,0.434,7.715,0.826,0.763,121.372,0.094,1.554
pyrocms/pyrocms,275.584,0.629,0.015,true,19.811,2.784,3,0.142,0.017,1.094,7.430,0.593,0.621,23.143,0.267,2.066
cucumber/cucumber,94.910,0.404,0.013,true,13.125,2.660,2,0.128,0.007,-0.16875,15.512,0.685,0.628,58.396,0.175,1.809
saltstack/salt,728.093,0.252,0.037,true,17.5,4.162,3,0.090,0.002,1.225,5.261,0.476,0.540,28.103,0.294,2.200
composer/composer,261.883,0.169,0.011,true,11.229,3.579,1,0.101,0.028,-0.208,11.346,0.706,0.817,85.351,0.085,1.634
EightMedia/hammer.js,35.082,0.220,0.114,true,14.238,2.355,1,0.304,0.0,-0.904,293.235,0.529,0.054,1.823,0.328,2.358
gollum/gollum,151.378,0.5,0.090,true,14.22,1.220,2,0.386,0.021,1.49,37.290,0.817,0.606,21.537,0.225,1.917
netty/netty,337.702,0.976,0.093,true,110.526,1.856,1,0.258,0.016,-4.263,26.175,0.581,0.546,8.405,0.316,2.056
Modernizr/Modernizr,91.226,0.342,0.007,true,12.346,2.026,2,0.133,0.033,0.153,90.816,0.770,0.612,24.504,0.167,1.831
refinery/refinerycms,239.727,3.315,0.012,true,15.789,2.780,2,0.081,0.005,0.984,8.708,0.663,0.677,64.307,0.200,1.845
ajaxorg/cloud9,521.847,0.200,0.047,true,45.652,2.270,4,0.396,0.02,-2.065,58.571,0.628,0.436,9.685,0.158,1.982,
ajaxorg/cloud9,521.762,0.201,0.047,true,45.652,2.270,4,0.396,0.02,-2.065,58.442,0.628,0.889,43.645,0.009,1.284,
mozilla/pdf.js,266.283,0.220,0.012,true,20.792,2.369,2,0.199,0.005,1.366,59.9,0.463,0.670,14.045,0.274,1.982
boto/boto,108.821,0.099,0.023,true,10.880,3.146,3,0.089,0.001,1.041,10.830,0.553,0.432,15.708,0.332,2.392
arduino/Arduino,112.239,0.008,0.027,true,31.513,1.210,1,0.167,0.009,-2.648,50.717,0.487,0.080,2.128,0.432,2.617
emberjs/ember.js,503.799,0.744,0.008,false,12.0,5.884,3,0.193,0.011,0.308,34.191,0.684,0.718,77.582,0.151,1.663
yiisoft/yii,387.806,0.420,0.020,true,16.279,2.532,4,0.087,0.014,1.364,17.343,0.473,0.614,16.928,0.260,2.024
mongoid/mongoid,214.669,1.382,0.080,false,21.875,1.907,1,0.200,0.007,1.020,9.794,0.798,0.682,79.406,0.161,1.735
github/android,82.218,0.11,0.008,true,262.5,1.236,1,0.611,0.090,-2.375,34.358,0.307,0.589,16.474,0.235,1.915
angular-ui/bootstrap,313.653,0.389,0.032,true,30.454,1.542,1,0.370,0.013,-0.727,35.843,0.431,0.676,13.627,0.153,1.754
