ctr,country,pdi,idv,mas,uai,ltowvs,ivr
AFE,Africa East,64,27,41,52,32,40
AFW,Africa West,77,20,46,54,9,78
ARA,Arab countries,80,38,53,68,23,34
ARG,Argentina,49,46,56,86,20,62
AUL,Australia,38,90,61,51,21,71
AUT,Austria,11,55,79,70,60,63
BAN,Bangladesh,80,20,55,60,47,20
BEL,Belgium,65,75,54,94,82,57
BRA,Brazil,69,38,49,76,44,59
BUL,Bulgaria,70,30,40,85,69,16
CAN,Canada,39,80,52,48,36,68
CHL,Chile,63,23,28,86,31,68
CHI,China,80,20,66,30,87,24
COL,Colombia,67,13,64,80,13,83
CRO,Croatia,73,33,40,80,58,33
CZE,Czech Rep,57,58,57,74,70,29
DEN,Denmark,18,74,16,23,35,70
SAL,El Salvador,66,19,40,94,20,89
EST,Estonia,40,60,30,60,82,16
FIN,Finland,33,63,26,59,38,57
FRA,France,68,71,43,86,63,48
GER,Germany,35,67,66,65,83,40
GBR,Great Britain,35,89,66,35,51,69
GRE,Greece,60,35,57,100,45,50
HOK,Hong Kong,68,25,57,29,61,17
HUN,Hungary,46,80,88,82,58,31
IND,India,77,48,56,40,51,26
IDO,Indonesia,78,14,46,48,62,38
IRA,Iran,58,41,43,59,14,40
IRE,Ireland,28,70,68,35,24,65
ITA,Italy,50,76,70,75,61,30
JPN,Japan,54,46,95,92,88,42
KOR,Korea South,60,18,39,85,100,29
LAT,Latvia,44,70,9,63,69,13
LIT,Lithuania,42,60,19,65,82,16
LUX,Luxembourg,40,60,50,70,64,56
MAL,Malaysia,100,26,50,36,41,57
MLT,Malta,56,59,47,96,47,66
MEX,Mexico,81,30,69,82,24,97
MOR,Morocco,70,46,53,68,14,25
NET,Netherlands,38,80,14,53,67,68
NZL,New Zealand,22,79,58,49,33,75
NOR,Norway,31,69,8,50,35,55
PAK,Pakistan,55,14,50,70,50,0
PER,Peru,64,16,42,87,25,46
PHI,Philippines,94,32,64,44,27,42
POL,Poland,68,60,64,93,38,29
POR,Portugal,63,27,31,99,28,33
ROM,Romania,90,30,42,90,52,20
RUS,Russia,93,39,36,95,81,20
SER,Serbia,86,25,43,92,52,28
SIN,Singapore,74,20,48,8,72,46
SLK,Slovak Rep,100,52,100,51,77,28
SLV,Slovenia,71,27,19,88,49,48
SPA,Spain,57,51,42,86,48,44
SWE,Sweden,31,71,5,29,53,78
SWI,Switzerland,34,68,70,58,74,66
TAI,Taiwan,58,17,45,69,93,49
THA,Thailand,64,20,34,64,32,45
TRI,Trinidad and Tobago,47,16,58,55,13,80
TUR,Turkey,66,37,45,85,46,49
USA,U.S.A.,40,91,62,46,26,68
URU,Uruguay,61,36,38,98,26,53
VEN,Venezuela,81,12,73,76,16,100
VIE,Vietnam,70,20,40,30,57,35
